,1989年1月,1989年2月,1989年3月,1989年4月,1989年5月,1989年6月,1989年7月,1989年8月,1989年9月,1989年10月,1989年11月,1989年12月,1990年1月,1990年2月,1990年3月,1990年4月,1990年5月,1990年6月,1990年7月,1990年8月,1990年9月,1990年10月,1990年11月,1990年12月,1991年1月,1991年2月,1991年3月,1991年4月,1991年5月,1991年6月,1991年7月,1991年8月,1991年9月,1991年10月,1991年11月,1991年12月,1992年1月,1992年2月,1992年3月,1992年4月,1992年5月,1992年6月,1992年7月,1992年8月,1992年9月,1992年10月,1992年11月,1992年12月,1993年1月,1993年2月,1993年3月,1993年4月,1993年5月,1993年6月,1993年7月,1993年8月,1993年9月,1993年10月,1993年11月,1993年12月,1994年1月,1994年2月,1994年3月,1994年4月,1994年5月,1994年6月,1994年7月,1994年8月,1994年9月,1994年10月,1994年11月,1994年12月,1995年1月,1995年2月,1995年3月,1995年4月,1995年5月,1995年6月,1995年7月,1995年8月,1995年9月,1995年10月,1995年11月,1995年12月,1996年1月,1996年2月,1996年3月,1996年4月,1996年5月,1996年6月,1996年7月,1996年8月,1996年9月,1996年10月,1996年11月,1996年12月,1997年1月,1997年2月,1997年3月,1997年4月,1997年5月,1997年6月,1997年7月,1997年8月,1997年9月,1997年10月,1997年11月,1997年12月,1998年1月,1998年2月,1998年3月,1998年4月,1998年5月,1998年6月,1998年7月,1998年8月,1998年9月,1998年10月,1998年11月,1998年12月,1999年1月,1999年2月,1999年3月,1999年4月,1999年5月,1999年6月,1999年7月,1999年8月,1999年9月,1999年10月,1999年11月,1999年12月,2000年1月,2000年2月,2000年3月,2000年4月,2000年5月,2000年6月,2000年7月,2000年8月,2000年9月,2000年10月,2000年11月,2000年12月,2001年1月,2001年2月,2001年3月,2001年4月,2001年5月,2001年6月,2001年7月,2001年8月,2001年9月,2001年10月,2001年11月,2001年12月,2002年1月,2002年2月,2002年3月,2002年4月,2002年5月,2002年6月,2002年7月,2002年8月,2002年9月,2002年10月,2002年11月,2002年12月,2003年1月,2003年2月,2003年3月,2003年4月,2003年5月,2003年6月,2003年7月,2003年8月,2003年9月,2003年10月,2003年11月,2003年12月,2004年1月,2004年2月,2004年3月,2004年4月,2004年5月,2004年6月,2004年7月,2004年8月,2004年9月,2004年10月,2004年11月,2004年12月,2005年1月,2005年2月,2005年3月,2005年4月,2005年5月,2005年6月,2005年7月,2005年8月,2005年9月,2005年10月,2005年11月,2005年12月,2006年1月,2006年2月,2006年3月,2006年4月,2006年5月,2006年6月,2006年7月,2006年8月,2006年9月,2006年10月,2006年11月,2006年12月,2007年1月,2007年2月,2007年3月,2007年4月,2007年5月,2007年6月,2007年7月,2007年8月,2007年9月,2007年10月,2007年11月,2007年12月,2008年1月,2008年2月,2008年3月,2008年4月,2008年5月,2008年6月,2008年7月,2008年8月,2008年9月,2008年10月,2008年11月,2008年12月,2009年1月,2009年2月,2009年3月,2009年4月,2009年5月,2009年6月,2009年7月,2009年8月,2009年9月,2009年10月,2009年11月,2009年12月,2010年1月,2010年2月,2010年3月,2010年4月,2010年5月,2010年6月,2010年7月,2010年8月,2010年9月,2010年10月,2010年11月,2010年12月,2011年1月,2011年2月,2011年3月,2011年4月,2011年5月,2011年6月,2011年7月,2011年8月,2011年9月,2011年10月,2011年11月,2011年12月,2012年1月,2012年2月,2012年3月,2012年4月,2012年5月,2012年6月,2012年7月,2012年8月,2012年9月,2012年10月,2012年11月,2012年12月,2013年1月,2013年2月,2013年3月,2013年4月,2013年5月,2013年6月,2013年7月,2013年8月,2013年9月,2013年10月,2013年11月,2013年12月,2014年1月,2014年2月,2014年3月,2014年4月,2014年5月,2014年6月,2014年7月,2014年8月,2014年9月,2014年10月,2014年11月,2014年12月,2015年1月,2015年2月,2015年3月,2015年4月,2015年5月,2015年6月,2015年7月,2015年8月,2015年9月,2015年10月,2015年11月,2015年12月,2016年1月,2016年2月,2016年3月
関西,3368351,3341562,3699204,3526171,3534379,3706173,3880738,3784617,3825854,3741422,3690806,3730725,3554147,3496844,3814757,3668566,3716208,3958678,4133786,3996073,3984448,4014714,3830738,3845638,3688409,3677425,3972557,3829637,3879713,4059521,4289862,3981695,4015279,3995055,3756529,3721461,3610694,3651730,3780416,3693589,3702162,3924122,4145671,3875186,3961692,3935763,3726798,3776187,3612481,3596825,3900348,3679838,3689218,3918643,4070243,3828188,3891649,3834471,3694620,3696638,3514879,3489660,3798229,3618210,3685759,3962599,4223898,4033792,4043910,3998088,3849788,3843341,3497060,3601262,3933558,3743759,3791820,3978260,4138987,4098729,3983088,3967543,3809692,3857665,3671253,3782721,3875321,3724816,3809761,3981427,4214577,3989466,3969915,4037290,3894855,3890510,3772232,3705469,3954258,3849715,3972954,4098603,4298187,4071501,4142210,4040281,3799572,3795318,3703470,3537379,3730824,3655705,3778495,3902465,4106071,3849495,3946967,3923646,3613686,3585930,3467177,3433636,3681301,3539930,3569767,3869397,3987766,3842748,4027578,3849675,3640709,3638655,3471468,3585686,3768702,3580679,3738413,3947119,4128225,3988813,3988054,3899732,3699763,3713726,3587370,3447946,3666480,3535581,3640916,3799364,4022577,3789458,3676061,3646726,3444710,3427251,3315628,3258641,3483150,3415446,3533097,3688842,4035226,3785406,3755852,3691152,3487651,3469518,3393570,3272489,3550992,3465136,3558146,3665085,3762956,3641280,3722776,3611935,3444506,3458166,3417264,3384689,3596713,3474468,3656027,3833122,4022361,3773456,3828482,3756869,3532016,3528140,3463225,3339607,3637212,3549411,3562292,3826781,3952182,3835581,3844372,3704747,3539215,3621894,3544385,3413399,3694479,3536505,3601519,3992328,4158703,4074475,3945241,3989224,3762924,3726834,3610642,3519903,3866188,3719696,3770405,3979982,4117393,4050424,4028089,3984830,3812202,3865955,3764794,3813439,3917929,3788782,4031911,4181161,4365234,4105711,4108406,4044210,3718458,3448114,3188997,2938313,3141206,3154708,3305901,3577022,3824375,3668202,3642164,3728179,3582458,3576246,3568168,3448148,3792970,3679648,3840177,4070850,4247361,4185410,4134111,4023872,3832622,3819908,3852090,3683546,4010765,3832940,3904096,4113679,4208594,4099593,3989416,3942772,3803591,3782164,3643683,3638310,3785373,3732543,3760554,3884889,3962301,3841250,3778162,3718530,3557941,3532958,3464235,3357573,3637549,3543012,3613642,3737419,3994789,3784335,3673365,3787980,3543440,3524298,3569719,3407323,3633202,3541030,3614530,3688064,3860347,3608587,3559916,3632932,3411547,3446917,3419949,3261216,3518241,3408208,3366368,3514591,3722759,3503428,3378048,3419219,3282848,3245565,3239384,3159841,3280246
中国,1272626,1222762,1318666,1277986,1288631,1338478,1420081,1400216,1395879,1409015,1383606,1375117,1327550,1282038,1387672,1325903,1376904,1435118,1534061,1517661,1535670,1561045,1512796,1494616,1485402,1451178,1548034,1519723,1558893,1584354,1673361,1599745,1561905,1636508,1558669,1543999,1480152,1476248,1523743,1490989,1539449,1598306,1680534,1551145,1537509,1577889,1560721,1524192,1473433,1455609,1618304,1543093,1607513,1663963,1618869,1525407,1570829,1575131,1522036,1488460,1408420,1418792,1552867,1436917,1538987,1614363,1720514,1676399,1666898,1703993,1647456,1609194,1554069,1539623,1683739,1605765,1628371,1616734,1668251,1659113,1549944,1598802,1564727,1575785,1528852,1565029,1642310,1574656,1595594,1621788,1731307,1697355,1653301,1710060,1628382,1622165,1607390,1590576,1730576,1686685,1705678,1748436,1794027,1732788,1692302,1735263,1650043,1615950,1633624,1547243,1634392,1563459,1588423,1629190,1685562,1665589,1667330,1670928,1541481,1529702,1507136,1491436,1566088,1516028,1561330,1615691,1699243,1671549,1705667,1698958,1625325,1663724,1615860,1631620,1724563,1632371,1703086,1749525,1838226,1791427,1776828,1771028,1645730,1663891,1644229,1531944,1670246,1591163,1614953,1680283,1719690,1689267,1627950,1628161,1592827,1601544,1542130,1482560,1587633,1609540,1704127,1713671,1831453,1848554,1812989,1771618,1728765,1758893,1714375,1599623,1770892,1744695,1722546,1698956,1797023,1835877,1800801,1746963,1688322,1713642,1662779,1650565,1738584,1757451,1856404,1876404,1968451,1928628,1849729,1848624,1806563,1833490,1792354,1677124,1811710,1821638,1798182,1875051,1954314,1934586,1907533,1894024,1814263,1840949,1817166,1755646,1866581,1858249,2001717,2001701,2100079,2071458,2017151,2048567,1992747,2054807,2022554,1924077,2104781,2009849,2015977,2053848,2201433,2237892,2212904,2178972,2132199,2156632,2106103,2094728,2162155,2056909,2123910,2214911,2350882,2270850,2255584,2127273,1957359,1778613,1530710,1392531,1454605,1473559,1559262,1608329,1817600,1872679,1900599,1893240,1811377,1858128,1846803,1790822,1905813,1864430,1941006,2039733,2099228,2040987,2053804,2005404,1896239,1959602,1964351,1857946,1955451,1864565,1898762,2003040,2037699,1994705,1924703,1919473,1819872,1828113,1769105,1776766,1861803,1828253,1870612,1890309,1974947,1916761,1868637,1825738,1700264,1775690,1769969,1658887,1752497,1745639,1810202,1863766,1992160,1950472,1896019,1885293,1778431,1842579,1851982,1778276,1844149,1809723,1888965,1938588,1977153,1909263,1914926,1914411,1803969,1867494,1864653,1732720,1858264,1768309,1806418,1848024,1985694,1952366,1878556,1866914,1799707,1835559,1848330,1799144,1836428
四国,502887,462510,506993,496009,536077,517992,520924,487690,514989,549116,536735,542233,529670,490312,541356,531286,568505,577382,537789,511761,537292,580776,562709,583020,557937,524483,612747,563218,581412,564516,537977,506505,514726,549900,535502,536374,518983,525426,552225,524148,522349,502172,508167,510336,500389,541308,522396,515203,501321,479270,534364,516753,539418,531526,497663,479232,473272,524323,479182,486523,470356,449732,503385,495341,498203,507972,499630,476719,497751,528548,510805,495909,491621,461608,520840,505236,530978,515424,520396,497815,488694,526679,497786,490545,517926,505272,542916,530023,558783,561756,556429,508524,488396,536318,530753,544684,526524,518299,558618,551858,571918,551042,545652,517130,518274,583290,567275,562734,543583,508404,561804,561352,579685,586521,563452,514960,533530,564613,540818,551131,523925,505331,550219,539773,571417,556346,522736,516642,524819,587771,557689,564197,549795,540372,573034,567918,590129,605338,591330,563136,556745,618369,591334,586902,580849,544234,600089,587052,604588,608367,602677,572942,571887,613459,573912,572262,541570,514955,582427,578705,597807,608487,603204,574293,582097,598520,570407,588786,575382,537178,603532,598080,605671,612396,592775,568036,587785,622373,599288,597565,593309,582462,612226,615473,621353,637458,630806,599978,617220,640186,618541,628812,615137,580579,633370,631183,646056,663092,646693,642956,626289,683613,656607,661107,639080,614455,671151,649612,662917,694132,681427,679454,666031,724216,673860,691315,662399,648021,705091,683888,692116,708848,707147,726592,734468,778588,738385,749831,730891,705909,738651,738785,749606,757451,789413,748424,749484,749161,702231,668890,624234,576415,579002,603329,604064,645347,637099,617837,629804,683467,637363,643349,613570,609536,657439,679825,669608,711076,708477,691170,678136,710744,667293,680864,662947,639481,719813,701835,687041,724693,698658,689085,664805,717467,694644,666472,661015,650086,680318,668427,663192,690368,667108,638239,642387,665208,626455,611089,596581,581257,630530,650312,629060,676262,656103,613495,611572,652789,611707,614823,601572,574598,618156,618195,607737,641033,656564,619459,608359,649671,639978,647793,606164,576932,632396,629754,609292,667186,650836,610867,596180,624110,615340,600387,601357,594827,627158
九州,1297151,1228930,1348566,1346278,1326294,1385125,1455346,1427222,1389668,1457340,1402010,1424894,1350688,1271112,1409229,1386316,1410442,1493753,1537783,1528273,1497564,1527483,1484486,1510162,1473573,1412422,1556388,1530586,1530558,1587358,1591137,1533310,1517084,1552351,1489570,1504311,1461435,1420846,1518785,1464388,1525727,1589373,1545119,1515106,1573565,1573486,1520700,1514680,1459495,1381022,1535034,1492829,1502251,1586169,1550408,1467028,1480425,1541016,1489340,1465286,1423258,1351753,1475706,1453876,1528553,1602051,1639584,1553783,1552815,1589782,1535701,1537807,1505227,1444555,1595128,1546718,1578608,1613283,1665907,1624413,1591065,1675231,1567199,1585397,1554378,1528587,1620194,1578301,1611689,1651750,1698413,1622769,1627163,1670329,1602614,1623426,1588348,1511500,1648554,1628970,1693015,1734163,1760018,1722110,1666957,1731620,1630730,1646732,1589388,1495029,1614795,1571985,1620856,1689151,1720126,1649376,1633734,1683396,1586087,1587155,1526211,1442968,1581151,1533332,1583504,1680605,1703943,1662236,1676315,1742920,1651189,1670487,1606662,1572750,1669596,1632431,1693366,1762567,1803489,1800295,1755842,1773479,1729939,1725972,1671608,1559803,1710310,1617805,1682310,1750444,1803855,1742428,1693393,1717263,1629278,1642508,1565364,1490446,1658107,1616888,1683853,1751795,1787707,1750895,1690220,1762777,1691723,1719716,1649253,1519452,1693627,1649775,1721818,1756321,1790876,1765135,1758189,1776058,1696800,1712424,1659107,1588432,1709051,1702103,1765873,1820690,1908852,1837977,1773628,1816327,1734623,1753430,1711827,1612631,1778948,1746405,1777994,1903164,1927589,1889416,1878728,1933208,1825173,1883364,1828563,1710572,1887318,1876232,1919498,1988890,2049046,2024306,1943363,2035165,1984781,2030096,1952945,1849577,2038859,1974716,2036016,2142733,2193332,2200768,2185211,2220604,2066123,2071543,2011612,1995827,2110038,2044804,2122760,2183228,2345257,2233190,2215466,2167848,2008026,1843491,1701429,1524738,1633479,1669302,1751112,1874197,2003632,1976429,1965222,1939526,1851160,1874479,1870703,1749307,1881609,1849968,1900005,1971161,2105937,2112625,2093807,2068007,1929692,1985480,1969865,1847006,2004312,1909908,1980028,2078852,2177349,2105877,2053536,2070380,1971280,1922020,1846800,1846015,1981761,1952188,1999026,2072987,2128078,2060755,2012863,1992743,1937080,1925885,1828204,1750452,1953700,1882662,1937837,2030675,2145981,2075983,1978251,2049529,1918845,1933741,1868993,1827210,1972889,1923796,1996082,2017699,2131017,2041354,2009480,1984052,1903268,1920774,1850970,1742582,1898269,1885274,1935599,1979421,2055424,1956550,1912255,1942861,1858890,1806184,1797372,1725855,1837539
沖縄,58984,48668,46796,49758,52875,59530,62057,64580,62515,60099,54834,53906,55445,49641,51380,52956,58317,58662,64254,67793,60977,59368,56088,53421,55720,51162,52014,56130,59372,58981,61947,63968,63217,57971,54849,53584,54429,48922,54544,53910,57152,59866,59669,64178,63997,62555,57625,55637,55549,50845,56082,56823,61658,64455,62973,69966,66370,63972,60328,57688,57357,52690,55900,57878,63291,63240,61843,70877,66255,65277,60773,60255,61838,53783,56617,58877,64639,66644,68809,72498,69955,73932,65907,62792,63136,59994,60955,63578,63422,65466,69740,69153,72662,72959,69416,62733,63270,59688,60303,61896,70704,72075,75927,71590,75213,67890,65518,67045,65674,59098,62152,64634,68492,71166,73493,76927,70053,69824,68001,66763,63124,59319,63065,61708,65472,70194,69305,73026,71131,69171,67100,68149,65555,57714,61217,61251,63433,69500,71247,70150,70753,70348,70874,66511,63309,55854,58712,61492,64548,69863,73957,77123,71316,71974,67282,63707,61631,58395,61655,68486,73274,76037,75756,75254,71096,69347,70442,66862,65302,60985,62923,63658,70137,72060,79664,77903,79687,77023,75640,69456,67343,68969,70226,73598,76148,81920,83114,83243,77594,75534,74189,71903,67152,63965,66278,68354,71648,74525,79565,82113,79278,80809,76453,76262,72507,67942,67835,69455,72477,71404,78067,80851,78536,76758,74435,75410,69086,63509,66243,67808,69481,69750,77795,83236,78283,77327,73496,72825,66938,63199,67043,65783,71574,75775,81455,82572,83733,81529,75940,68460,63660,62133,67620,67462,72930,73563,79909,80356,78825,76413,76957,73733,68224,65123,67004,66203,69014,69867,74705,79842,78285,78161,70889,67536,64967,61192,63126,63234,69233,73814,78270,77789,78666,74027,73104,69558,63992,62139,65477,62849,71739,72959,75690,76264,76754,71257,69875,66379,62202,60829,63977,63680,71744,72615,76643,78861,79168,75533,73302,69989,65124,59746,69168,70537,69670,75084,78016,84372,80376,78631,74958,70294,66807,62511,66626,68115,69386,75366,78443,80018,77903,74059,71806,68123,64195,60246,62396
10社計,17795609,17531314,19163583,18542427,18451992,19596745,20209882,19586570,20146647,20047666,19717917,19690072,18811428,18542857,19985404,19382693,19640288,21085788,21751765,20839817,21311005,21579147,20662067,20638779,19956372,19973336,21279792,20679239,20701901,21938422,22676648,20884295,21614601,21834933,20895449,20531583,19726128,19944354,20731579,20062792,19959386,21311223,22044414,20463775,21497804,21337306,20586904,20276397,19433557,19434699,21109742,20153357,19949028,21347937,21324580,19786866,20779649,20596928,20086314,19747094,18984475,19065404,20625201,19740741,19732267,21488334,22554123,21309747,21955136,21703848,21175373,20920945,19804881,20203513,21844380,20755399,20560883,21628827,22333969,21643095,21504475,21649395,20981798,21032313,20115744,20936612,21594336,20769370,20908455,22062075,23192743,21580277,22021025,22330603,21695032,21566491,20988114,20872736,22254281,21569016,21972583,23032189,23993429,22330000,23050204,22857827,21839921,21589488,20981123,20512613,21593258,21154412,21265827,22214514,23000030,21383902,22346668,22186885,20846949,20751494,19873276,19938716,21138527,20352165,20507523,22075800,22663183,21932953,22967658,22405211,21533486,21501439,20388097,21222791,22179799,21072879,21476420,23011078,23843222,23018824,23304734,22982943,22141278,22065168,21164258,20860482,22104456,20980021,21260670,22471890,23562208,21982636,21902635,21900622,20917414,20751197,19837739,19774463,21031313,20608630,21177052,22150539,23656571,22475961,22544626,22427390,21574275,21574136,20873368,20405013,21916000,21167929,21561985,22338041,22645682,21902068,22723087,22291198,21544639,21478241,20949460,21058062,22206260,21628984,21840595,23376084,24374895,22882632,23369669,22806063,22031555,21863761,21291462,21027786,22577099,21844130,21664711,23488566,23980054,23268988,23816868,23424167,22533903,22866472,22075653,21606434,23222829,22528031,22726310,24426554,25096729,24566854,24544910,24722961,24045871,24093985,23079855,22684216,24643475,23570449,23875526,25423863,25838265,25737520,25966746,25710019,24723941,24773085,23952976,24497048,25193995,24338344,24781403,25977002,27511142,25729868,26114805,25581340,23436935,21551631,19471168,18038326,19035999,19359330,19979899,21565785,23036794,22096970,22538113,22727158,21991107,21950843,21572315,21223992,22827167,22294345,22463139,24149462,25361674,24668570,24881405,24035720,23038011,23099837,22815126,22192142,21398175,20920035,21712659,23466042,24165952,23243861,23488333,23263458,22518812,22211004,21625558,22044784,22854394,22142707,22117792,23006316,23758341,22939835,23004880,22499632,21457930,21282508,20779309,20423645,21711327,21262272,21714834,22724650,23941868,22871166,22748547,23030323,21737875,21694899,21491722,20940442,22319323,21426895,21710926,22707062,23683014,22389828,22416362,22499499,21474571,21574732,21109601,20397369,21796521,21002653,20986465,22073025,23278440,21940347,21665444,21686364,20925883,20599296,20441436,20273742,21053124
home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,1262917,1311784,1188310,1201758,1105686,1116358,1118529,1225378,1275183,1187374,1223373,1244207,1328644,1420589,1264133,1246056,1165000,1184836,1227054,1297443,1345587,1260185,1277393,1284198,1360782,1473903,1340697,1368970,1229761,1234511,1270301,1352648,1358590,1323956,1345957,1370989,1491861,1580931,1446397,1428841,1331814,1284921,1324161,1413168,1437780,1359418,1429424,1421222,1563143,1628273,1477825,1499492,1399266,1336757,1348718,1453656,1458694,1428887,1453959,1488747,1685445,1719896,1555965,1612196,1455956,1377115,1430576,1591526,1625655,1541025,1502305,1565890,1763479,1822276,1631545,1647455,1472448,1483227,1469080,1624735,1613788,1561557,1592939,1651596,1825136,1927187,1833903,1759406,1637002,1516005,1510682,1711242,1665639,1624600,1724203,1748867,2049649,1934311,1807769,1802746,1675628,1540983,1617482,1804283,1706841,1692739,1742422,1689421,2104174,2096319,1835161,1854350,1648467,1576115,1638050,1796205,1758933,1746506,1802872,1845521,2160287,2136524,1947881,1956267,1733592,1613211,1689934,1929975,1864596,1776915,1796693,1892289,2209430,2165948,2056449,1968669,1800405,1653474,1727633,1887484,1948930,1767295,1881537,1997281,2358686,2299984,2054506,1989348,1836879,1649921,1722070,1914123,1869670,1823394,1920911,1957211,2445796,2260533,1962861,1958312,1839712,1633936,1757783,1940313,1862546,1829014,1992158,2022661,2568401,2267561,2098295,2115558,1883853,1709820,1793322,1911026,1910178,1866361,1948687,2024535,2442929,2318571,2192262,2149016,1927236,1767445,1813897,1995286,1998882,1899898,1972329,2056683,2565976,2406973,2220479,2224527,1983619,1811352,1836193,1990133,2074933,1935672,1980453,2119065,2679140,2496474,2196957,2239893,2021907,1819337,1839519,2014063,2124284,1964904,2055302,2181096,2628511,2448878,2285403,2196451,2080355,1859482,1893206,2025839,2119876,1966254,2136615,2262435,2678270,2607684,2446828,2118961,2037299,1824828,1867061,2071998,2018482,2007253,2142844,2192483,2751861,2535824,2396939,2202884,2057573,1772577,1895527,2036929,2002985,1953182,2153379,2199387,2840076,2562945,2469344,2316460,2166599,1797429,1955926,2096937,2135395,1995431,2102525,2231531,2871718,2598007,2450940,2241550,2075822,1799693,1864302,1994582,2057266,1960753,2047166,2284736,2960884,2657722,2633148,2299526,2081485,1758112,1820329,1919393,2012223,1893255,2042887,2260284,2908284,2678158,2472199,2271569,2123913,1748286,1771386,1966776,1964451,1810669,2054787,2119928,2794520,2679488,2379113,2272440,1982122,1696649,1744253,1956156,1864138,1816322,2018488,2110342,2811299,2501710,2190371,2112865,1893151,1594358,1692709,1882707,1797968,1749248,1957471,2037416,2629883,2406565,2348201
東北,2877745,2528461,2731645,2554842,2488594,2465297,2475771,3042863,2705798,2540655,2480900,2645616,3060938,2831541,2827732,2570008,2754034,2540036,2800051,3117056,2910806,2853819,2557104,2675043,3312585,3001503,3013266,2887295,2851295,2581947,3041320,2937917,2979513,3027625,2759227,2770266,3552488,3187341,3015251,3255835,2798858,2855355,3098201,3240027,3122003,2934376,2871658,2986470,3675526,3274908,3237877,3444467,2955681,2911333,3058806,3135472,3121606,2988137,3025893,3265874,3801295,3594395,3315752,3467846,3113963,3156756,3286435,4096000,3716161,3243705,3188538,3447833,4084745,3768643,3402736,3601653,3261995,3217844,3296448,3924022,3594830,3281010,3303688,3610701,4188024,4100524,3725321,3864173,3482242,3304651,3520041,3941155,3670697,3518520,3567800,3583438,4369357,4134378,3761749,3779517,3561818,3331622,3803105,4348038,3820045,3558195,3614401,3803971,4514748,4232117,3824765,3990540,3623043,3461941,3731724,4089040,4027446,3682830,3677136,3984905,4527685,4324029,4032374,4122538,3681171,3551704,3768759,4687277,4318931,3792471,3677170,4000907,4662527,4383618,4380811,4154640,3882303,3574083,3988361,4694268,4491208,3735039,3886238,4179456,4930462,4710629,4322384,4110609,3810830,3672382,4008423,4545944,4061201,3746626,3902774,4196976,4996237,4432310,4203427,3989131,3880487,3585735,3883085,4643187,4228372,3909708,4125785,4304349,5186615,4597180,4426181,4228033,3913856,3661513,3940069,4208379,4087715,3990968,3871300,4193858,5070194,4724325,4633009,4389287,3905960,3800039,4308980,4674000,4274452,4032061,3976655,4198931,5212760,4925869,5033861,4498895,4033201,3926548,4128806,4750647,4487004,4038934,4061877,4601056,5724960,5074416,4782153,4606489,4177455,3920596,4117371,4710429,4506536,3968247,4215518,4589483,5312763,4821378,4747932,4513873,4338619,3979627,4044006,4752530,4554879,4274374,4306505,4605582,5642264,5306318,4943735,4368926,4257810,3968448,4086779,4806007,4302631,4083799,4224329,4670068,5303317,5087968,4754075,4630898,4052931,3897062,4000998,4496844,4104116,4002364,4114530,4611424,5556012,5184294,4994447,4792312,4339814,4053903,4217438,5023625,4883459,4070856,4187255,4674854,5619083,5396587,4659537,4007866,3697345,3527819,3852366,4150073,4088980,3681669,3751659,4464741,5467511,5474993,5060746,4421877,3886104,3678074,3741477,4369182,4435178,3856663,3870656,4691912,5798129,5216172,4996459,4249198,4139874,3668102,3941525,4200827,4059883,3799818,3969321,4403248,5646365,5402757,4982560,4298727,3931767,3656901,3792560,4325476,3828943,3733416,3826793,4616349,5799653,5083755,4807318,4323693,3725056,3502824,3847533,4355044,3783230,3623486,3770970,4337510,5181720,5189185,4829178
東京,11678950,10293537,9722251,10350207,9452232,9040421,10526155,11945913,13023290,10318527,10018569,10515666,12653945,11601013,10233101,10584990,10587775,10055704,11641364,14035567,14174785,11042753,10366322,11010200,13154550,12018991,11358799,11450849,10540547,10992801,12612370,14404131,13459406,11096814,12010423,11061473,14109324,13097936,11917158,12045205,11462248,10664837,11786956,15311220,14125958,11347988,11913349,11856407,14547540,13503213,12294326,12599332,11702366,11344021,12226377,13429720,13808199,11932449,11614481,12655894,14886032,14241099,12983196,13200592,11332582,12115040,14692516,17986694,16185837,12987992,12145529,13180568,15414946,14314838,13655881,14050424,11936069,12155102,13846140,17579153,17106645,12733738,12839257,13942997,16447649,15201113,14682575,14211638,12933091,13055183,14536498,17504679,15299379,12811274,13749214,14082558,16401641,15816240,14009183,13966313,13279242,13028326,16340361,18105798,16502216,13628162,13430982,14128678,16882460,16553643,14591621,15020802,13720289,13445921,16264439,17475759,17097049,14705740,13930570,14728324,16981345,16177649,15092231,15263739,13371217,14085273,15740728,18913404,19368946,15482597,13902359,14687224,17283604,16614752,16129060,15019843,13581438,14785283,16600331,19690267,19229225,14518619,15026620,15567893,18060225,17694386,15710951,14685407,14175165,14932590,17416419,19918153,16975334,14694333,14831639,15646048,18013728,17119564,14958339,14301322,14188937,14563239,16267477,21276667,17999547,14874981,15652728,15792099,19398813,17874677,16273590,15770845,14459809,14269056,15862653,17406770,17578270,15209597,14521323,15602842,18335521,17670592,16018670,16048233,14493580,14730806,18498257,19905329,18621044,15544764,14898042,15413377,17996954,18930998,16933871,16466628,14532779,14400357,17146658,19193009,19218429,15844070,14965556,16714108,20541311,18669284,16753469,16193937,15325786,14605983,16877307,18862696,18933508,14879149,15703540,16561420,19077241,17805213,16216981,15994537,15723253,15200798,16200584,20080177,19558917,15992665,15587566,16951094,20018694,19928367,17122695,16238231,15605394,14773386,16817677,20743190,17946149,15735765,15507721,16816615,18909964,18595108,16886225,16671645,14948385,14587772,16952422,18746391,17307323,15189055,15218031,16548452,19686540,18903389,17068800,17623420,15656915,14685441,18208931,20417859,21275461,15890576,15419477,16149433,19831625,19442501,16829738,15105392,13393930,12959613,16162413,16664642,17315688,13932747,14027840,15461449,19582819,18836021,17811013,15452802,14426335,13518005,14742796,18128566,18044724,14659809,14103321,16586515,18625722,18723607,16061789,14527512,13773651,13251619,15366882,18356964,17421330,14199147,14210840,15280826,18675735,18391209,16761917,14547457,13328440,13141976,14944578,17587205,14920220,13296074,13376875,15293755,18418759,17790689,15684063,14935677,12815847,12882511,13916941,17702764,14583151,12815542,12635365,14039592,16404146,17345157,15615407
